distance_in_lamda,RMSE
0.10000000000000084,3.8343644596189717
0.1999999999999987,3.5627899061411705
0.29999999999999954,3.547439041243646
0.40000000000000036,3.4346910517356615
0.5000000000000012,3.3800353183786744
0.5999999999999991,3.3548042770172097
0.7,3.2454559118424
0.8000000000000007,3.1952964117499136
0.8999999999999986,3.177471977343768
0.9999999999999994,3.0725368374813975
1.999999999999999,2.957659969294178
3.0000000000000013,2.5425190734510084
4.000000000000001,2.348968016310903
5.0,2.1061557809479186
6.0,1.8585779345298286
6.999999999999999,1.8476899070424528
8.000000000000002,1.898988911316966
8.999999999999998,1.8469921445240498
10.0,1.8435580218125793
11.000000000000004,1.8825433602678803
12.0,1.9433578093749935
13.000000000000002,2.006453830001873
13.999999999999998,2.165664636079951
15.0,2.3820386004456107
16.000000000000004,2.338978589758902
17.0,2.29097676302548
17.999999999999996,2.288344998846622
19.0,2.5222702155589793
