distance_in_lamda,RMSE
0.09999999999999935,inf
0.20000000000000018,inf
0.29999999999999954,inf
0.40000000000000036,inf
0.4999999999999997,inf
0.5999999999999991,inf
0.7,inf
0.8000000000000007,inf
0.8999999999999986,inf
0.9999999999999994,inf
1.999999999999999,inf
3.0000000000000013,inf
4.000000000000001,inf
5.0,2.392124157428869
6.0,2.0210325484557656
6.999999999999999,1.650382082859634
8.000000000000002,1.6489049526353325
8.999999999999998,1.5146834834539835
10.0,1.3915504646645327
11.0,1.324160779800232
12.0,1.3392545521691497
13.000000000000002,1.2159649485380406
13.999999999999998,1.2131587362253597
15.0,1.1393222027152525
16.000000000000004,1.1301127542742047
17.0,1.2819286162386545
17.999999999999996,1.1167100425016376
19.0,1.0787527097781848
