distance_in_lamda,RMSE
0.09999999999999935,3.4944157397541202
0.20000000000000018,3.349896405704898
0.29999999999999954,3.2418016916819585
0.40000000000000036,3.1465556248684052
0.4999999999999997,3.0478989141407316
0.6000000000000005,2.951920920308892
0.7,2.8781709250407026
0.8000000000000007,2.8140475168136883
0.9000000000000001,2.7504735314952398
0.9999999999999994,2.6892796378784616
2.0000000000000004,2.421602192640143
3.0,2.421135877974703
4.000000000000001,2.554996582437475
5.0,2.6639893636118175
6.0,2.754783206585606
6.999999999999999,2.836544337101733
8.000000000000002,2.9514756936742215
8.999999999999998,3.1115298844077777
10.0,3.330673134339365
11.0,3.666378823176221
12.0,3.827022842462904
13.000000000000002,3.7925172161045047
14.000000000000002,3.5457479346978364
15.0,3.489043193771595
16.0,3.772646383870088
17.0,4.200336926454943
17.999999999999996,4.473519820795743
19.0,4.512691006695585
