distance_in_lamda,RMSE
0.09999999999999935,inf
0.20000000000000018,inf
0.29999999999999954,inf
0.40000000000000036,inf
0.4999999999999997,inf
0.6000000000000005,inf
0.7,inf
0.8000000000000007,inf
0.9000000000000001,inf
0.9999999999999994,inf
2.0000000000000004,13.50620262080108
3.0,6.950099080229913
4.000000000000001,2.608010840693521
5.0,1.8593255894587803
6.0,1.5453547757917474
6.999999999999999,1.7055980824903083
8.000000000000002,1.84989699857942
8.999999999999998,1.6024956486961948
10.0,1.5770985039333114
11.0,1.540662099957909
12.0,1.850150120488723
13.000000000000002,1.6744288775182137
14.000000000000002,1.8252800620210867
15.0,1.8040375747822175
16.0,1.7367627211035788
17.0,2.4032630411910407
17.999999999999996,1.9571564609052832
19.0,1.9511358947954593
