Near field
"Phi"[deg]	"MLFMM_Sphere2_Scat_Field [dBV/m]"	"Sphere2_Scat_Field [dBV/m]"	
2.30500000E+02	-1.14452866E+01	-1.18560624E+01	
2.31000000E+02	-1.17250567E+01	-1.18521865E+01	
2.31500000E+02	-1.19929022E+01	-1.23078268E+01	
2.32000000E+02	-1.22129711E+01	-1.30054478E+01	
2.32500000E+02	-1.23931445E+01	-1.34929511E+01	
2.33000000E+02	-1.25472634E+01	-1.33542083E+01	
2.33500000E+02	-1.26428708E+01	-1.27059898E+01	
2.34000000E+02	-1.26320094E+01	-1.20167902E+01	
2.34500000E+02	-1.25333147E+01	-1.16183194E+01	
2.35000000E+02	-1.24367574E+01	-1.16222901E+01	
2.35500000E+02	-1.24187788E+01	-1.19936672E+01	
2.36000000E+02	-1.24811225E+01	-1.25749229E+01	
2.36500000E+02	-1.25689226E+01	-1.30937322E+01	
2.37000000E+02	-1.26348898E+01	-1.32869483E+01	
2.37500000E+02	-1.26806709E+01	-1.31337769E+01	
2.38000000E+02	-1.27368099E+01	-1.28674869E+01	
2.38500000E+02	-1.28164545E+01	-1.27402625E+01	
2.39000000E+02	-1.28937946E+01	-1.28767661E+01	
2.39500000E+02	-1.29176418E+01	-1.32544015E+01	
2.40000000E+02	-1.28434753E+01	-1.37012416E+01	
2.40500000E+02	-1.26608729E+01	-1.39323076E+01	
2.41000000E+02	-1.23989383E+01	-1.37391957E+01	
2.41500000E+02	-1.21126502E+01	-1.32012358E+01	
2.42000000E+02	-1.18667442E+01	-1.25859056E+01	
2.42500000E+02	-1.17215223E+01	-1.21115157E+01	
2.43000000E+02	-1.17098242E+01	-1.18667300E+01	
2.43500000E+02	-1.18012225E+01	-1.18326344E+01	
2.44000000E+02	-1.18792338E+01	-1.19122360E+01	
2.44500000E+02	-1.17938048E+01	-1.19646147E+01	
2.45000000E+02	-1.15000518E+01	-1.18709094E+01	
2.45500000E+02	-1.11178870E+01	-1.16095676E+01	
2.46000000E+02	-1.08098348E+01	-1.12632792E+01	
2.46500000E+02	-1.06436514E+01	-1.09495272E+01	
2.47000000E+02	-1.05655875E+01	-1.07537762E+01	
2.47500000E+02	-1.04692687E+01	-1.07055005E+01	
2.48000000E+02	-1.03019670E+01	-1.07805385E+01	
2.48500000E+02	-1.01057450E+01	-1.09130812E+01	
2.49000000E+02	-9.95292250E+00	-1.10184672E+01	
2.49500000E+02	-9.86994123E+00	-1.10301274E+01	
2.50000000E+02	-9.82815511E+00	-1.09342935E+01	
2.50500000E+02	-9.78839162E+00	-1.07734376E+01	
2.51000000E+02	-9.74452551E+00	-1.06163134E+01	
2.51500000E+02	-9.72535400E+00	-1.05237974E+01	
2.52000000E+02	-9.76575425E+00	-1.05318238E+01	
2.52500000E+02	-9.88340637E+00	-1.06502147E+01	
2.53000000E+02	-1.00731817E+01	-1.08688180E+01	
2.53500000E+02	-1.03094643E+01	-1.11657268E+01	
2.54000000E+02	-1.05531419E+01	-1.15158023E+01	
2.54500000E+02	-1.07719817E+01	-1.18984449E+01	
2.55000000E+02	-1.09736024E+01	-1.23030626E+01	
2.55500000E+02	-1.12161539E+01	-1.27309946E+01	
2.56000000E+02	-1.15838913E+01	-1.31943054E+01	
2.56500000E+02	-1.21426500E+01	-1.37134532E+01	
2.57000000E+02	-1.29054364E+01	-1.43158104E+01	
2.57500000E+02	-1.38190033E+01	-1.50355636E+01	
2.58000000E+02	-1.47802266E+01	-1.59138527E+01	
2.58500000E+02	-1.56942822E+01	-1.69963748E+01	
2.59000000E+02	-1.65434978E+01	-1.83216456E+01	
2.59500000E+02	-1.73830398E+01	-1.98791880E+01	
2.60000000E+02	-1.82395634E+01	-2.14844276E+01	
2.60500000E+02	-1.89911861E+01	-2.25658002E+01	
2.61000000E+02	-1.93593291E+01	-2.24207172E+01	
2.61500000E+02	-1.91520841E+01	-2.12375050E+01	
2.62000000E+02	-1.85151111E+01	-1.98005101E+01	
2.62500000E+02	-1.77653426E+01	-1.85699497E+01	
2.63000000E+02	-1.71293356E+01	-1.76840989E+01	
2.63500000E+02	-1.67041580E+01	-1.71641248E+01	
2.64000000E+02	-1.65104796E+01	-1.70063687E+01	
2.64500000E+02	-1.65301049E+01	-1.72134219E+01	
2.65000000E+02	-1.67274411E+01	-1.78072938E+01	
2.65500000E+02	-1.70785382E+01	-1.88415145E+01	
2.66000000E+02	-1.76100360E+01	-2.04211615E+01	
2.66500000E+02	-1.84168441E+01	-2.27385872E+01	
2.67000000E+02	-1.96192625E+01	-2.60852713E+01	
2.67500000E+02	-2.12010527E+01	-2.99728501E+01	
2.68000000E+02	-2.25697464E+01	-2.92097052E+01	
2.68500000E+02	-2.24530296E+01	-2.52968952E+01	
2.69000000E+02	-2.09617220E+01	-2.23457357E+01	
2.69500000E+02	-1.94319618E+01	-2.04115444E+01	
2.70000000E+02	-1.84687874E+01	-1.92415656E+01	
2.70500000E+02	-1.81377740E+01	-1.86972344E+01	
2.71000000E+02	-1.83432569E+01	-1.87258692E+01	
2.71500000E+02	-1.89321878E+01	-1.93380850E+01	
2.72000000E+02	-1.97404918E+01	-2.06076340E+01	
2.72500000E+02	-2.06746631E+01	-2.26894516E+01	
2.73000000E+02	-2.17702153E+01	-2.58023949E+01	
2.73500000E+02	-2.30648548E+01	-2.94471838E+01	
2.74000000E+02	-2.41696664E+01	-2.92979831E+01	
2.74500000E+02	-2.40193268E+01	-2.59887077E+01	
2.75000000E+02	-2.24742755E+01	-2.34227604E+01	
2.75500000E+02	-2.07456679E+01	-2.18730727E+01	
2.76000000E+02	-1.95726200E+01	-2.11204695E+01	
2.76500000E+02	-1.91472200E+01	-2.10186568E+01	
2.77000000E+02	-1.95113944E+01	-2.14924272E+01	
2.77500000E+02	-2.06915370E+01	-2.25107215E+01	
2.78000000E+02	-2.26547538E+01	-2.40561533E+01	
2.78500000E+02	-2.48769780E+01	-2.60355003E+01	
2.79000000E+02	-2.55190920E+01	-2.79565332E+01	
2.79500000E+02	-2.39746184E+01	-2.85099934E+01	
2.80000000E+02	-2.21743040E+01	-2.71057887E+01	
2.80500000E+02	-2.09827761E+01	-2.49872339E+01	
2.81000000E+02	-2.04386997E+01	-2.30290215E+01	
2.81500000E+02	-2.04014109E+01	-2.14468938E+01	
2.82000000E+02	-2.06687685E+01	-2.02745939E+01	
2.82500000E+02	-2.09911873E+01	-1.95228810E+01	
2.83000000E+02	-2.11458013E+01	-1.92000759E+01	
2.83500000E+02	-2.10586571E+01	-1.92937677E+01	
2.84000000E+02	-2.08037132E+01	-1.97235825E+01	
2.84500000E+02	-2.04628366E+01	-2.02565263E+01	
2.85000000E+02	-2.00413013E+01	-2.04702609E+01	
2.85500000E+02	-1.95102897E+01	-2.00334376E+01	
2.86000000E+02	-1.88863861E+01	-1.90984456E+01	
2.86500000E+02	-1.82438212E+01	-1.80703173E+01	
2.87000000E+02	-1.76612567E+01	-1.72057331E+01	
2.87500000E+02	-1.71789530E+01	-1.65742518E+01	
2.88000000E+02	-1.68006298E+01	-1.61576116E+01	
2.88500000E+02	-1.65200834E+01	-1.59236061E+01	
2.89000000E+02	-1.63418903E+01	-1.58564840E+01	
2.89500000E+02	-1.62785584E+01	-1.59497749E+01	
2.90000000E+02	-1.63285478E+01	-1.61767680E+01	
2.90500000E+02	-1.64533892E+01	-1.64638645E+01	
2.91000000E+02	-1.65718192E+01	-1.66951491E+01	
2.91500000E+02	-1.65811709E+01	-1.67615852E+01	
2.92000000E+02	-1.63970446E+01	-1.66147064E+01	
2.92500000E+02	-1.59785339E+01	-1.62576851E+01	
2.93000000E+02	-1.53208342E+01	-1.56914690E+01	
2.93500000E+02	-1.44395889E+01	-1.48971688E+01	
2.94000000E+02	-1.33700442E+01	-1.38699944E+01	
2.94500000E+02	-1.21685597E+01	-1.26489546E+01	
2.95000000E+02	-1.09013484E+01	-1.13077624E+01	
2.95500000E+02	-9.62752400E+00	-9.92699693E+00	
2.96000000E+02	-8.38859137E+00	-8.57312024E+00	
2.96500000E+02	-7.20682692E+00	-7.28877841E+00	
2.97000000E+02	-6.08927399E+00	-6.09184262E+00	
2.97500000E+02	-5.03442897E+00	-4.98203897E+00	
2.98000000E+02	-4.03955481E+00	-3.95253764E+00	
2.98500000E+02	-3.10653474E+00	-3.00076151E+00	
2.99000000E+02	-2.24362997E+00	-2.13270271E+00	
2.99500000E+02	-1.46351112E+00	-1.35980279E+00	
3.00000000E+02	-7.79500496E-01	-6.92788282E-01	
3.00500000E+02	-2.02382345E-01	-1.37673457E-01	
3.01000000E+02	2.61022560E-01	3.04192630E-01	
3.01500000E+02	6.07862327E-01	6.33723323E-01	
3.02000000E+02	8.38898848E-01	8.52252794E-01	
3.02500000E+02	9.58545663E-01	9.61939825E-01	
3.03000000E+02	9.75227225E-01	9.67777630E-01	
3.03500000E+02	9.01181501E-01	8.78995294E-01	
3.04000000E+02	7.50674173E-01	7.07936467E-01	
3.04500000E+02	5.36377573E-01	4.66475169E-01	
3.05000000E+02	2.65243269E-01	1.62291096E-01	
3.05500000E+02	-6.35929031E-02	-2.02109353E-01	
3.06000000E+02	-4.56930755E-01	-6.26817170E-01	
3.06500000E+02	-9.22048157E-01	-1.11057528E+00	
3.07000000E+02	-1.46026602E+00	-1.64859534E+00	
3.07500000E+02	-2.06261846E+00	-2.23323987E+00	
3.08000000E+02	-2.70981396E+00	-2.85565732E+00	
3.08500000E+02	-3.37707544E+00	-3.50554622E+00	
3.09000000E+02	-4.04241461E+00	-4.16897709E+00	
3.09500000E+02	-4.69470253E+00	-4.82846684E+00	
3.10000000E+02	-5.33753520E+00	-5.47005331E+00	
3.10500000E+02	-5.98724577E+00	-6.09540734E+00	
3.11000000E+02	-6.66656701E+00	-6.72801760E+00	
3.11500000E+02	-7.39590788E+00	-7.40338398E+00	
3.12000000E+02	-8.18298003E+00	-8.14571167E+00	
3.12500000E+02	-9.01064085E+00	-8.94371709E+00	
3.13000000E+02	-9.82621145E+00	-9.73997409E+00	
3.13500000E+02	-1.05440485E+01	-1.04480446E+01	
3.14000000E+02	-1.10781963E+01	-1.10000903E+01	
3.14500000E+02	-1.13983801E+01	-1.13917731E+01	
3.15000000E+02	-1.15579062E+01	-1.16782679E+01	
3.15500000E+02	-1.16586253E+01	-1.19293513E+01	
3.16000000E+02	-1.17909682E+01	-1.21907492E+01	
3.16500000E+02	-1.19963167E+01	-1.24703183E+01	
3.17000000E+02	-1.22548629E+01	-1.27365841E+01	
3.17500000E+02	-1.24868513E+01	-1.29192220E+01	
3.18000000E+02	-1.25718088E+01	-1.29189078E+01	
3.18500000E+02	-1.24008375E+01	-1.26453807E+01	
3.19000000E+02	-1.19433733E+01	-1.20784029E+01	
3.19500000E+02	-1.12644905E+01	-1.12951534E+01	
3.20000000E+02	-1.04737837E+01	-1.04262358E+01	
3.20500000E+02	-9.66587126E+00	-9.58706233E+00	
3.21000000E+02	-8.89620247E+00	-8.84019581E+00	
3.21500000E+02	-8.18304689E+00	-8.19197209E+00	
3.22000000E+02	-7.51829662E+00	-7.60634623E+00	
3.22500000E+02	-6.87755055E+00	-7.02698941E+00	
3.23000000E+02	-6.22959803E+00	-6.40305714E+00	
3.23500000E+02	-5.54614618E+00	-5.70914400E+00	
3.24000000E+02	-4.81076699E+00	-4.94899134E+00	
3.24500000E+02	-4.02397761E+00	-4.14394685E+00	
3.25000000E+02	-3.20205439E+00	-3.31837495E+00	
3.25500000E+02	-2.37067020E+00	-2.49211151E+00	
3.26000000E+02	-1.55727104E+00	-1.68091794E+00	
3.26500000E+02	-7.85819529E-01	-9.00329956E-01	
3.27000000E+02	-7.41273089E-02	-1.68198887E-01	
3.27500000E+02	5.64566255E-01	4.96009231E-01	
3.28000000E+02	1.12042697E+00	1.07412466E+00	
3.28500000E+02	1.58484944E+00	1.55204486E+00	
3.29000000E+02	1.94907197E+00	1.92062089E+00	
3.29500000E+02	2.20370921E+00	2.17438370E+00	
3.30000000E+02	2.33918618E+00	2.30907629E+00	
3.30500000E+02	2.34679625E+00	2.31950797E+00	
3.31000000E+02	2.22010390E+00	2.19906454E+00	
3.31500000E+02	1.95657509E+00	1.94152547E+00	
3.32000000E+02	1.55964454E+00	1.54513302E+00	
3.32500000E+02	1.04185745E+00	1.01854334E+00	
3.33000000E+02	4.29845311E-01	3.88195371E-01	
3.33500000E+02	-2.29146013E-01	-2.94328671E-01	
3.34000000E+02	-8.63575992E-01	-9.49950909E-01	
3.34500000E+02	-1.38806306E+00	-1.48546467E+00	
3.35000000E+02	-1.73852935E+00	-1.83103591E+00	
3.35500000E+02	-1.91684689E+00	-1.98529290E+00	
3.36000000E+02	-2.00210596E+00	-2.02711856E+00	
3.36500000E+02	-2.11444349E+00	-2.08151848E+00	
3.37000000E+02	-2.36880425E+00	-2.27453569E+00	
3.37500000E+02	-2.85036862E+00	-2.70709007E+00	
3.38000000E+02	-3.60788605E+00	-3.44450985E+00	
3.38500000E+02	-4.64638744E+00	-4.50257976E+00	
3.39000000E+02	-5.90200679E+00	-5.80889633E+00	
3.39500000E+02	-7.19422231E+00	-7.13516219E+00	
3.40000000E+02	-8.21534612E+00	-8.10345538E+00	
3.40500000E+02	-8.71221981E+00	-8.48022159E+00	
3.41000000E+02	-8.76359582E+00	-8.47157386E+00	
3.41500000E+02	-8.70215072E+00	-8.47616931E+00	
3.42000000E+02	-8.82716634E+00	-8.76503554E+00	
3.42500000E+02	-9.31097232E+00	-9.45630725E+00	
3.43000000E+02	-1.02397115E+01	-1.05825024E+01	
3.43500000E+02	-1.16480210E+01	-1.21157205E+01	
3.44000000E+02	-1.34941525E+01	-1.39152550E+01	
3.44500000E+02	-1.55185395E+01	-1.55840005E+01	
3.45000000E+02	-1.70202795E+01	-1.64831609E+01	
3.45500000E+02	-1.73115236E+01	-1.64178054E+01	
3.46000000E+02	-1.67751253E+01	-1.59561766E+01	
3.46500000E+02	-1.62007805E+01	-1.56667928E+01	
3.47000000E+02	-1.59490571E+01	-1.57890246E+01	
3.47500000E+02	-1.60806651E+01	-1.63489672E+01	
3.48000000E+02	-1.65643072E+01	-1.72428926E+01	
3.48500000E+02	-1.73720157E+01	-1.82796234E+01	
3.49000000E+02	-1.85281763E+01	-1.93029561E+01	
3.49500000E+02	-2.01371768E+01	-2.03746666E+01	
3.50000000E+02	-2.23924110E+01	-2.17768612E+01	
3.50500000E+02	-2.55329940E+01	-2.37999921E+01	
3.51000000E+02	-2.92051484E+01	-2.63691989E+01	
3.51500000E+02	-2.97978090E+01	-2.80590806E+01	
3.52000000E+02	-2.69057823E+01	-2.70453320E+01	
3.52500000E+02	-2.43257220E+01	-2.48843486E+01	
3.53000000E+02	-2.25592855E+01	-2.29333684E+01	
3.53500000E+02	-2.14285851E+01	-2.14350798E+01	
3.54000000E+02	-2.08364130E+01	-2.04944442E+01	
3.54500000E+02	-2.07731392E+01	-2.02449229E+01	
3.55000000E+02	-2.12562582E+01	-2.08072020E+01	
3.55500000E+02	-2.22720249E+01	-2.22419433E+01	
3.56000000E+02	-2.37116262E+01	-2.43910472E+01	
3.56500000E+02	-2.53154918E+01	-2.64340301E+01	
3.57000000E+02	-2.67425902E+01	-2.72094699E+01	
3.57500000E+02	-2.77912884E+01	-2.72312506E+01	
3.58000000E+02	-2.83418453E+01	-2.74792310E+01	
3.58500000E+02	-2.81474627E+01	-2.76634264E+01	
3.59000000E+02	-2.73087460E+01	-2.70429986E+01	
3.59500000E+02	-2.64580181E+01	-2.60595275E+01	
3.60000000E+02	-2.61166833E+01	-2.56149758E+01	
