Near field
"Phi"[deg]	"MLFMM_Sphere2_Scat_Field [dBV/m]"	"Sphere2_Scat_Field [dBV/m]"	
5.25000000E+01	-2.06404867E+00	-2.26617214E+00	
5.30000000E+01	-1.46076569E+00	-1.67489126E+00	
5.35000000E+01	-9.22235718E-01	-1.12845907E+00	
5.40000000E+01	-4.57097457E-01	-6.38484046E-01	
5.45000000E+01	-6.31824628E-02	-2.10528415E-01	
5.50000000E+01	2.67249399E-01	1.55360087E-01	
5.55000000E+01	5.40530842E-01	4.60447911E-01	
5.60000000E+01	7.56402769E-01	7.02319493E-01	
5.65000000E+01	9.06956016E-01	8.72772316E-01	
5.70000000E+01	9.79570575E-01	9.59971317E-01	
5.75000000E+01	9.60820149E-01	9.52793619E-01	
5.80000000E+01	8.39710793E-01	8.43905272E-01	
5.85000000E+01	6.08698421E-01	6.29650673E-01	
5.90000000E+01	2.63443848E-01	3.07596141E-01	
5.95000000E+01	-1.97495243E-01	-1.25594460E-01	
6.00000000E+01	-7.72298663E-01	-6.73605834E-01	
6.05000000E+01	-1.45504161E+00	-1.33718745E+00	
6.10000000E+01	-2.23538784E+00	-2.11068261E+00	
6.15000000E+01	-3.09994826E+00	-2.98186324E+00	
6.20000000E+01	-4.03558168E+00	-3.93682024E+00	
6.25000000E+01	-5.03338549E+00	-4.96753704E+00	
6.30000000E+01	-6.09090337E+00	-6.07601208E+00	
6.35000000E+01	-7.21054105E+00	-7.26984415E+00	
6.40000000E+01	-8.39416145E+00	-8.55045451E+00	
6.45000000E+01	-9.63564345E+00	-9.90053558E+00	
6.50000000E+01	-1.09135825E+01	-1.12771282E+01	
6.55000000E+01	-1.21863275E+01	-1.26130254E+01	
6.60000000E+01	-1.33928527E+01	-1.38272237E+01	
6.65000000E+01	-1.44635580E+01	-1.48463517E+01	
6.70000000E+01	-1.53392277E+01	-1.56325291E+01	
6.75000000E+01	-1.59853461E+01	-1.61926743E+01	
6.80000000E+01	-1.63924146E+01	-1.65492177E+01	
6.85000000E+01	-1.65736041E+01	-1.67049596E+01	
6.90000000E+01	-1.65727423E+01	-1.66566646E+01	
6.95000000E+01	-1.64676481E+01	-1.64463073E+01	
7.00000000E+01	-1.63504334E+01	-1.61739727E+01	
7.05000000E+01	-1.62962449E+01	-1.59502623E+01	
7.10000000E+01	-1.63451338E+01	-1.58490408E+01	
7.15000000E+01	-1.65056297E+01	-1.59018316E+01	
7.20000000E+01	-1.67728344E+01	-1.61225856E+01	
7.25000000E+01	-1.71465204E+01	-1.65344563E+01	
7.30000000E+01	-1.76340392E+01	-1.71743338E+01	
7.35000000E+01	-1.82327811E+01	-1.80616719E+01	
7.40000000E+01	-1.89042870E+01	-1.91246070E+01	
7.45000000E+01	-1.95661134E+01	-2.00974302E+01	
7.50000000E+01	-2.01266751E+01	-2.05572123E+01	
7.55000000E+01	-2.05449899E+01	-2.03434052E+01	
7.60000000E+01	-2.08399430E+01	-1.98002707E+01	
7.65000000E+01	-2.10234552E+01	-1.93605388E+01	
7.70000000E+01	-2.10506230E+01	-1.92570762E+01	
7.75000000E+01	-2.08783799E+01	-1.95661861E+01	
7.80000000E+01	-2.05789094E+01	-2.02960113E+01	
7.85000000E+01	-2.03515441E+01	-2.14353141E+01	
